TRINITY_DN21551_c1_g1_i1	IOCAS.LVAN23390	52.326	86	36	1	467	210	38	118	1.54e-25	96.7
TRINITY_DN21560_c0_g1_i1	IOCAS.LVAN21403	76.515	132	30	1	2	394	5	136	7.36e-56	172
TRINITY_DN21536_c0_g1_i1	IOCAS.LVAN03915	60.920	87	20	1	220	2	75	161	3.36e-29	107
TRINITY_DN21564_c1_g1_i1	IOCAS.LVAN24062	83.500	200	33	0	138	737	1	200	2.38e-124	361
TRINITY_DN21546_c0_g1_i1	IOCAS.LVAN09535	59.494	474	162	2	1816	395	1	444	0.0	565
TRINITY_DN21563_c0_g1_i1	IOCAS.LVAN09280	74.555	731	183	2	3	2189	388	1117	0.0	1064
TRINITY_DN21561_c0_g1_i1	IOCAS.LVAN03120	80.267	375	73	1	1414	290	2	375	0.0	561
TRINITY_DN21553_c0_g1_i1	IOCAS.LVAN22707	85.515	359	52	0	88	1164	1	359	0.0	599
TRINITY_DN21557_c0_g1_i1	IOCAS.LVAN15365	84.375	96	14	1	38	325	245	339	3.25e-50	168
TRINITY_DN21565_c0_g1_i1	IOCAS.LVAN08629	93.023	86	6	0	552	295	22	107	1.87e-54	169
TRINITY_DN21510_c0_g1_i1	IOCAS.LVAN02420	67.647	68	22	0	239	36	2055	2122	5.11e-28	105
TRINITY_DN21568_c1_g1_i1	IOCAS.LVAN06971	95.643	482	21	0	1937	492	1	482	0.0	870
TRINITY_DN21566_c0_g1_i1	IOCAS.LVAN17223	85.714	217	31	0	925	275	1	217	2.65e-126	361
TRINITY_DN21540_c0_g1_i1	IOCAS.LVAN01308	91.413	361	31	0	1983	901	1	361	0.0	704
TRINITY_DN21539_c0_g1_i1	IOCAS.LVAN10661	96.667	120	4	0	239	598	1	120	2.97e-67	212
TRINITY_DN21541_c0_g1_i1	IOCAS.LVAN01774	76.790	405	94	0	1531	317	26	430	0.0	521
TRINITY_DN21548_c0_g1_i1	IOCAS.LVAN16665	61.435	223	84	1	1177	509	1	221	6.89e-85	278
TRINITY_DN21501_c0_g1_i1	IOCAS.LVAN25165	54.167	96	37	3	5	286	168	258	1.25e-25	99.0
TRINITY_DN21543_c0_g1_i1	IOCAS.LVAN00806	96.196	184	7	0	1098	547	788	971	3.94e-120	370
TRINITY_DN21538_c0_g1_i1	IOCAS.LVAN21342	91.844	846	69	0	2799	262	4	849	0.0	1581
TRINITY_DN21550_c1_g1_i1	IOCAS.LVAN00996	67.532	77	25	0	2	232	450	526	1.32e-24	95.1
TRINITY_DN21550_c1_g1_i3	IOCAS.LVAN00996	70.513	78	23	0	2	235	450	527	9.90e-29	106
TRINITY_DN21542_c0_g1_i1	IOCAS.LVAN18723	74.057	424	110	0	1833	562	13	436	0.0	581
TRINITY_DN21547_c0_g1_i1	IOCAS.LVAN16322	86.364	286	38	1	312	1169	44	328	1.17e-177	544
TRINITY_DN21511_c0_g1_i1	IOCAS.LVAN19816	73.810	84	8	2	63	314	227	296	4.63e-32	117
TRINITY_DN21549_c0_g1_i1	IOCAS.LVAN20210	67.742	93	30	0	6	284	634	726	7.93e-34	122
TRINITY_DN21476_c0_g1_i1	IOCAS.LVAN19376	53.061	98	41	2	3	281	56	153	5.17e-28	102
TRINITY_DN21567_c4_g1_i1	IOCAS.LVAN11771	91.509	212	18	0	52	687	25	236	9.55e-146	412
TRINITY_DN21544_c0_g1_i1	IOCAS.LVAN03926	56.284	183	76	3	1228	680	40	218	1.21e-63	204
TRINITY_DN21552_c0_g1_i1	IOCAS.LVAN03815	56.731	104	44	1	535	224	5	107	5.37e-35	122
TRINITY_DN5656_c0_g1_i3	IOCAS.LVAN01654	80.000	215	43	0	140	784	1	215	2.15e-128	366
TRINITY_DN5656_c0_g1_i2	IOCAS.LVAN01654	78.756	193	41	0	140	718	1	193	9.24e-114	324
TRINITY_DN5656_c0_g1_i1	IOCAS.LVAN20430	66.484	364	121	1	1387	299	2	365	3.03e-148	429
TRINITY_DN5625_c0_g1_i1	IOCAS.LVAN05692	86.066	122	17	0	20	385	185	306	5.15e-54	181
TRINITY_DN5625_c0_g1_i2	IOCAS.LVAN05692	95.349	86	4	0	20	277	185	270	4.68e-53	177
TRINITY_DN5655_c0_g1_i1	IOCAS.LVAN05134	68.750	128	40	0	14	397	95	222	3.21e-56	180
TRINITY_DN5680_c0_g1_i3	IOCAS.LVAN21730	63.924	316	83	5	1209	265	1	286	1.58e-130	381
TRINITY_DN5680_c0_g1_i1	IOCAS.LVAN21730	52.838	458	126	7	1484	114	1	369	5.11e-151	437
TRINITY_DN5680_c0_g1_i2	IOCAS.LVAN21730	53.586	474	130	7	1633	215	1	385	9.89e-162	466
TRINITY_DN5691_c0_g1_i1	IOCAS.LVAN16699	51.282	117	57	0	221	571	1	117	1.19e-37	134
TRINITY_DN5627_c0_g1_i1	IOCAS.LVAN22998	86.458	96	12	1	427	143	9	104	1.15e-52	170
TRINITY_DN5627_c0_g1_i2	IOCAS.LVAN22998	93.291	313	20	1	1089	154	9	321	0.0	597
TRINITY_DN5653_c0_g1_i1	IOCAS.LVAN18380	52.941	102	47	1	433	131	529	630	1.00e-22	93.6
TRINITY_DN5603_c0_g1_i2	IOCAS.LVAN13804	58.503	147	57	4	3	434	841	986	1.51e-45	159
TRINITY_DN5603_c0_g1_i1	IOCAS.LVAN13804	80.769	78	15	0	3	236	841	918	1.08e-59	140
TRINITY_DN5603_c0_g1_i1	IOCAS.LVAN13804	73.846	65	16	1	247	441	923	986	1.08e-59	106
TRINITY_DN5610_c0_g1_i1	IOCAS.LVAN01368	45.111	450	228	6	3	1301	379	826	5.26e-126	385
TRINITY_DN5661_c0_g1_i2	IOCAS.LVAN16190	66.316	190	64	0	653	84	111	300	1.98e-85	260
TRINITY_DN5661_c0_g1_i5	IOCAS.LVAN16190	62.500	128	48	0	467	84	173	300	1.02e-48	162
TRINITY_DN5661_c0_g1_i6	IOCAS.LVAN16190	67.164	201	66	0	686	84	100	300	1.67e-93	280
TRINITY_DN5661_c0_g1_i1	IOCAS.LVAN16190	67.164	201	66	0	686	84	100	300	1.06e-93	281
TRINITY_DN5661_c0_g1_i3	IOCAS.LVAN16190	66.316	190	64	0	653	84	111	300	7.29e-86	262
TRINITY_DN5607_c0_g1_i1	IOCAS.LVAN10198	93.617	329	21	0	2259	1273	182	510	0.0	654
TRINITY_DN5630_c0_g1_i1	IOCAS.LVAN08949	50.000	240	103	3	1	669	61	300	8.97e-75	231
TRINITY_DN5668_c0_g2_i1	IOCAS.LVAN22667	78.841	1035	202	11	3073	2	526	1554	0.0	1378
